order_id,customer_id,product_name,category,quantity,unit_price,revenue,order_date,city,payment_method,store,discount
26,3552,Tablet,ELECTRONICS,2,1453.52,2907.04,2024-04-16 00:00:00,Port Harcourt,cash,Store_D,0.2
27,2232,Headphones,ELECTRONICS,1,642.56,642.56,2023-10-22 00:00:00,lagos,Card,Store_A,0.09
28,1382,Phone,ELECTRONICS,5,488.05,2440.25,2023-05-17 00:00:00,Lagos,CARD,Store_B,0.22
29,1604,Printer,ELECTRONICS,1,1790.69,1790.69,2024-05-20 00:00:00,Kano,Cash,Store_B,0.28
30,2903,Printer,ELECTRONICS,9,1211.13,10900.170000000002,2024-10-30 00:00:00,Abuja,cash,Store_D,0.08
31,4136,Camera,electronics,4,585.47,2341.88,2023-07-11 00:00:00,Lagos,Card,Store_D,0.21
32,2669,Tablet,ELECTRONICS,8,860.76,6886.08,2022-02-10 00:00:00,Abuja,Transfer,Store_C,0.23
33,2716,Camera,ELECTRONICS,9,1609.74,14487.66,2023-07-13,LAGOS,cash,Store_B,0.25
34,3187,Laptop,electronics,10,1150.56,11505.599999999999,2022-10-05 00:00:00,LAGOS,Card,Store_D,0.1
35,4080,Headphones,electronics,2,967.1,1934.2,2023-12-18 00:00:00,Kano,Cash,Store_B,0.06
36,1517,Headphones,ELECTRONICS,2,1149.74,2299.48,2024-01-26 00:00:00,Kano,Card,Store_C,0.03
37,3774,Headphones,electronics,4,198.19,792.76,2022-07-28 00:00:00,Kano,Cash,Store_A,0.1
38,3072,Printer,electronics,1,1706.67,1706.67,2024-01-12 00:00:00,Kano,Card,Store_C,0.18
39,2904,Headphones,ELECTRONICS,10,573.37,5733.7,2022-06-27 00:00:00,Abuja,cash,Store_C,0.01
40,1868,Tablet,electronics,6,595.33,3571.9800000000005,2022-01-21 00:00:00,lagos,cash,Store_B,0.21
41,4247,Laptop,Electronics,5,482.11,2410.55,2024-01-26 00:00:00,Abuja,CARD,Store_C,0.11
42,1944,Laptop,ELECTRONICS,4,665.32,2661.28,2023-01-15 00:00:00,LAGOS,CARD,Store_C,0.29
43,2478,Phone,electronics,1,1430.64,1430.64,2022-04-22 00:00:00,lagos,cash,Store_A,0.26
44,2804,Tablet,Electronics,1,542.33,542.33,2022-05-14 00:00:00,Kano,Card,Store_B,0.24
45,2016,Laptop,ELECTRONICS,7,1232.32,8626.24,2024-12-06 00:00:00,LAGOS,cash,Store_C,0.17
46,1406,Phone,ELECTRONICS,4,566.06,2264.24,2022-06-03 00:00:00,Kano,Transfer,Store_A,0.07
47,2859,Laptop,ELECTRONICS,4,1851.63,7406.52,2023-02-10 00:00:00,Kano,Transfer,Store_B,0.02
48,4067,Camera,electronics,8,292.49,2339.92,2023-07-12 00:00:00,Lagos,cash,Store_C,0.18
49,3761,Camera,ELECTRONICS,1,1999.17,1999.17,2022-03-24 00:00:00,Port Harcourt,Transfer,Store_B,0.3
50,4969,Laptop,electronics,6,846.28,5077.68,2022-11-26 00:00:00,LAGOS,cash,Store_A,0.14
51,4973,Headphones,ELECTRONICS,1,1332.44,1332.44,2023-01-20 00:00:00,Abuja,Cash,Store_B,0.08
52,4607,Printer,electronics,2,106.3,212.6,2022-11-21,Abuja,Cash,Store_D,0.28
53,4820,Printer,electronics,9,1425.55,12829.949999999999,2024-08-25 00:00:00,Abuja,CARD,Store_B,0.26
54,2699,Tablet,ELECTRONICS,5,1650.07,8250.35,2024-09-29 00:00:00,Abuja,CARD,Store_D,0.14
55,3856,Phone,ELECTRONICS,7,505.45,3538.15,2024-08-26 00:00:00,Abuja,Card,Store_D,0.29
56,2359,Laptop,electronics,2,1075.6,2151.2,2024-04-19 00:00:00,Lagos,Transfer,Store_C,0.19
57,2345,Printer,ELECTRONICS,7,1910.57,13373.99,2024-09-26,Lagos,Transfer,Store_B,0.22
58,3595,Printer,Electronics,8,374.41,2995.28,2023-10-27 00:00:00,LAGOS,Card,Store_D,0.17
59,1323,Camera,electronics,10,1382.11,13821.099999999999,2023-04-21 00:00:00,LAGOS,cash,Store_C,0.2
60,2415,Camera,electronics,7,1396.11,9772.769999999999,2024-02-27 00:00:00,Abuja,CARD,Store_C,0.3
61,3696,Headphones,electronics,1,1153.56,1153.56,2022-04-11 00:00:00,LAGOS,Card,Store_C,0.07
62,4094,Printer,ELECTRONICS,3,1275.08,3825.24,2023-09-25,LAGOS,Cash,Store_C,0.1
63,4221,Camera,electronics,9,1028.5,9256.5,2024-09-13 00:00:00,LAGOS,cash,Store_A,0.04
64,3966,Printer,electronics,9,,,2022-09-11 00:00:00,Kano,cash,Store_C,0.03
65,4621,Camera,electronics,10,481.67,4816.7,2023-09-11 00:00:00,Lagos,Transfer,Store_D,0.03
66,2591,Headphones,electronics,9,867.3,7805.7,2024-04-29 00:00:00,Port Harcourt,Transfer,Store_A,0.21
67,1967,Tablet,Electronics,6,1111.71,6670.26,2024-03-26 00:00:00,Abuja,Card,Store_A,0.02
68,4223,Camera,Electronics,2,1668.14,3336.28,2023-04-23 00:00:00,,Card,Store_B,0.16
69,4548,Laptop,Electronics,1,748.57,748.57,2022-02-02 00:00:00,Kano,Cash,Store_A,0.14
70,1446,Headphones,ELECTRONICS,4,1893.56,7574.24,2024-12-03 00:00:00,Lagos,cash,Store_D,0.13
71,2816,Laptop,Electronics,6,1236.18,7417.08,2023-10-28 00:00:00,LAGOS,CARD,Store_D,0.03
72,3666,Camera,ELECTRONICS,4,888.64,3554.56,2024-07-17 00:00:00,LAGOS,Transfer,Store_C,0.29
73,1373,Laptop,Electronics,7,238.3,1668.1000000000001,2022-05-03 00:00:00,LAGOS,cash,Store_C,0.26
74,4751,Printer,Electronics,5,1220.8,6104.0,2023-03-12 00:00:00,Lagos,CARD,Store_C,0.03
75,2757,Camera,ELECTRONICS,10,1366.2,13662.0,02/07/2023,LAGOS,Transfer,Store_C,0.11
76,3692,Headphones,Electronics,3,1494.89,4484.67,2024-12-22 00:00:00,LAGOS,Transfer,Store_C,0.23
77,1215,Phone,Electronics,10,147.04,1470.3999999999999,2024-05-18 00:00:00,LAGOS,CARD,Store_A,0.1
78,3429,Headphones,ELECTRONICS,5,138.56,692.8,2022-01-16 00:00:00,lagos,Transfer,Store_C,0.04
79,1529,Headphones,ELECTRONICS,4,1025.51,4102.04,2022-05-28 00:00:00,,Cash,Store_C,0.17
80,2710,Tablet,Electronics,7,90.67,634.69,2024-07-31 00:00:00,Lagos,Cash,Store_B,0.13
81,4565,Tablet,ELECTRONICS,6,482.07,2892.42,2022-08-22 00:00:00,LAGOS,Card,Store_B,0.03
82,1626,Printer,Electronics,3,1905.02,5715.0599999999995,2024-07-08 00:00:00,Kano,CARD,Store_C,0.26
83,1279,Headphones,electronics,5,1602.84,8014.2,2022-06-01 00:00:00,Lagos,Transfer,Store_A,0.19
84,3433,Camera,electronics,8,1181.64,9453.12,2022-03-26 00:00:00,Kano,CARD,Store_D,0.15
85,4321,Tablet,ELECTRONICS,2,1033.87,2067.74,2024-06-15 00:00:00,Port Harcourt,Transfer,Store_C,0.12
86,1214,Printer,ELECTRONICS,6,178.53,1071.18,2023-08-05 00:00:00,Port Harcourt,Transfer,Store_A,0.17
87,4963,Printer,ELECTRONICS,7,301.46,2110.22,2024-02-11 00:00:00,lagos,CARD,Store_A,0.19
88,2485,Tablet,Electronics,4,716.38,2865.52,2022-10-09 00:00:00,Lagos,CARD,Store_A,0.2
89,3446,Headphones,Electronics,3,402.65,1207.9499999999998,2022-12-06,LAGOS,Card,Store_D,0.18
90,1958,Camera,Electronics,5,1932.91,9664.550000000001,2023-02-02 00:00:00,Abuja,Transfer,Store_D,0.15
91,1817,Camera,Electronics,5,151.75,758.75,2022-07-30 00:00:00,Lagos,Card,Store_C,0.13
92,1375,Phone,electronics,6,1864.42,11186.52,2024-02-05 00:00:00,LAGOS,Transfer,Store_A,0.25
93,1563,Laptop,electronics,8,1407.34,11258.72,2024-07-07 00:00:00,Lagos,Card,Store_D,0.03
94,1195,Phone,electronics,10,941.37,9413.7,2022-02-03 00:00:00,Kano,cash,Store_A,0.18
95,3721,Printer,Electronics,9,1950.58,17555.22,2024-11-05 00:00:00,Lagos,cash,Store_A,0.19
96,1066,Tablet,Electronics,6,520.2,3121.2000000000003,2023-11-12 00:00:00,LAGOS,Card,Store_D,0.29
97,1552,Laptop,ELECTRONICS,8,122.12,976.96,2022-03-27 00:00:00,Abuja,CARD,Store_D,0.08
98,2462,Laptop,ELECTRONICS,6,582.77,3496.62,2024-03-30 00:00:00,Abuja,Card,Store_D,0.21
99,2092,Laptop,ELECTRONICS,7,203.91,1427.37,2023-08-25 00:00:00,Kano,cash,Store_D,0.05
100,3977,Tablet,ELECTRONICS,7,585.38,4097.66,2022-06-03 00:00:00,Port Harcourt,Card,Store_A,0.04
101,1142,Phone,Electronics,4,1568.1,6272.4,2022-03-08 00:00:00,LAGOS,Cash,Store_B,0.16
102,2022,Laptop,Electronics,3,1023.14,3069.42,2023-06-21 00:00:00,lagos,Transfer,Store_D,0.06
103,1707,Printer,electronics,2,1630.5,3261.0,2023-12-13 00:00:00,LAGOS,Card,Store_B,0.24
104,1823,Phone,Electronics,8,101.25,810.0,2022-09-23 00:00:00,LAGOS,cash,Store_D,0.23
105,4982,Tablet,ELECTRONICS,2,927.45,1854.9,2023-01-08 00:00:00,Port Harcourt,Cash,Store_A,0.16
106,4828,Printer,Electronics,6,1897.59,11385.539999999999,2022-06-11 00:00:00,Port Harcourt,Transfer,Store_A,0.15
107,1631,Phone,ELECTRONICS,10,1455.23,14552.3,2022-03-26,Lagos,CARD,Store_C,0.2
108,3617,Laptop,electronics,9,614.86,5533.74,2024-04-11 00:00:00,Lagos,cash,Store_D,0.14
109,4528,Printer,electronics,6,1951.98,11711.880000000001,2022-08-06 00:00:00,LAGOS,Card,Store_A,0.02
110,2712,Phone,Electronics,6,1870.82,11224.92,2022-11-23 00:00:00,Abuja,cash,Store_A,0.03
111,1986,Phone,ELECTRONICS,6,144.88,869.28,2024-08-21,Lagos,Transfer,Store_C,0.23
112,3335,Camera,Electronics,6,1128.78,6772.68,2023-07-27 00:00:00,Port Harcourt,Cash,Store_D,0.11
113,2497,Phone,Electronics,10,1042.79,10427.9,2022-10-08 00:00:00,Port Harcourt,CARD,Store_B,0.1
114,3525,Printer,electronics,10,705.93,7059.299999999999,2023-09-06,LAGOS,cash,Store_C,0.24
115,1109,Camera,electronics,5,1935.79,9678.95,2023-04-12 00:00:00,lagos,CARD,Store_D,0.04
116,4883,Printer,Electronics,4,86.93,347.72,2023-02-22 00:00:00,Abuja,Cash,Store_B,0.16
117,2959,Camera,electronics,6,1915.54,11493.24,2023-12-27 00:00:00,Kano,Transfer,Store_D,0.06
118,1921,Tablet,electronics,4,1395.97,5583.88,2023-07-15 00:00:00,Port Harcourt,cash,Store_C,0.29
119,2178,Printer,Electronics,6,1851.82,11110.92,2023-03-15 00:00:00,Port Harcourt,Card,Store_A,0.18
120,3743,Camera,Electronics,4,152.36,609.44,2022-07-25 00:00:00,Port Harcourt,Card,Store_D,0.2
121,3664,Phone,electronics,6,606.56,3639.3599999999997,2023-04-21 00:00:00,Lagos,Card,Store_D,0.26
122,4425,Headphones,electronics,3,1876.39,5629.17,18/03/2022,Port Harcourt,Transfer,Store_C,0.14
123,4642,Phone,ELECTRONICS,8,582.03,4656.24,2024-07-28 00:00:00,Lagos,Transfer,Store_B,0.05
124,4387,Headphones,ELECTRONICS,6,219.14,1314.84,2022-10-15 00:00:00,Lagos,Card,Store_D,0.23
125,3960,Camera,Electronics,5,1324.68,6623.400000000001,2022-08-31 00:00:00,Kano,Transfer,Store_A,0.19
126,1904,Phone,Electronics,8,348.71,2789.68,2024-05-01 00:00:00,Port Harcourt,Card,Store_B,0.2
127,3152,Headphones,ELECTRONICS,6,202.3,1213.8000000000002,2024-11-01 00:00:00,lagos,CARD,Store_D,0.03
128,1372,Camera,electronics,1,934.19,934.19,2022-04-29 00:00:00,LAGOS,cash,Store_C,0.24
129,1185,Headphones,electronics,2,1105.27,2210.54,24/08/2024,Abuja,Card,Store_D,0.11
130,4756,Headphones,electronics,2,1381.32,2762.64,2023-12-14 00:00:00,Abuja,Card,Store_A,0.23
131,3945,Camera,electronics,9,789.59,7106.31,2022-11-14 00:00:00,Kano,Cash,Store_D,0.18
132,1985,Phone,Electronics,2,1208.19,2416.38,2022-04-10,Abuja,Card,Store_A,0.04
133,4753,Printer,ELECTRONICS,6,1176.08,7056.48,2023-05-01 00:00:00,Kano,cash,Store_C,0.08
134,4011,Phone,ELECTRONICS,7,1133.91,7937.370000000001,2024-02-20 00:00:00,Abuja,Transfer,Store_D,0.06
135,1923,Tablet,ELECTRONICS,3,1621.26,4863.78,2024-05-03 00:00:00,lagos,Transfer,Store_A,0.28
136,3967,Phone,Electronics,5,785.48,3927.4,2022-05-30 00:00:00,Kano,Card,Store_D,0.06
137,4723,Laptop,Electronics,4,1926.05,7704.2,2024-09-07 00:00:00,Kano,Card,Store_C,0.23
138,2471,Tablet,electronics,6,1049.99,6299.9400000000005,2024-08-19 00:00:00,lagos,cash,Store_A,0.17
139,2068,Camera,ELECTRONICS,10,1454.02,14540.2,2023-04-17 00:00:00,Abuja,Transfer,Store_C,0.23
140,4029,Headphones,electronics,3,1478.91,4436.7300000000005,2024-09-27 00:00:00,Kano,CARD,Store_A,0.25
141,1198,Laptop,electronics,3,1692.96,5078.88,2022-01-19 00:00:00,Lagos,CARD,Store_D,0.2
142,2684,Laptop,Electronics,9,1458.28,13124.52,2024-10-25 00:00:00,lagos,Cash,Store_B,0.07
143,2451,Tablet,electronics,2,777.45,1554.9,2023-04-08 00:00:00,Lagos,Cash,Store_A,0.12
144,3608,Laptop,ELECTRONICS,3,211.24,633.72,2023-11-10 00:00:00,Lagos,Cash,Store_B,0.06
145,2947,Tablet,Electronics,2,1384.64,2769.28,2022-03-09 00:00:00,Lagos,CARD,Store_B,0.23
146,1315,Tablet,Electronics,10,518.92,5189.2,2023-11-11 00:00:00,Kano,CARD,Store_C,0.02
147,2395,Camera,ELECTRONICS,10,823.57,8235.7,2023-07-14 00:00:00,lagos,cash,Store_D,0.06
148,4162,Camera,electronics,4,1440.56,5762.24,2022-11-12 00:00:00,Lagos,Transfer,Store_D,0.11
149,1767,Headphones,electronics,9,1131.74,10185.66,2023-12-26 00:00:00,LAGOS,Cash,Store_C,0.12
150,3291,Phone,ELECTRONICS,9,380.69,3426.21,2023-09-09 00:00:00,lagos,cash,Store_C,0.15
151,2010,Printer,ELECTRONICS,8,1207.92,9663.36,16/09/2023,Abuja,CARD,Store_D,0.24
152,4340,Printer,ELECTRONICS,3,635.85,1907.5500000000002,2024-09-08 00:00:00,LAGOS,cash,Store_B,0.1
153,2495,Laptop,ELECTRONICS,4,1204.84,4819.36,2022-02-25 00:00:00,Kano,Transfer,Store_A,0.25
154,3045,Phone,ELECTRONICS,5,521.94,2609.7000000000003,2024-02-12 00:00:00,Abuja,CARD,Store_D,0.16
155,4667,Camera,ELECTRONICS,2,263.27,526.54,2022-12-07,Kano,cash,Store_C,0.29
156,2059,Phone,ELECTRONICS,9,1138.09,10242.81,2024-02-06 00:00:00,Port Harcourt,Card,Store_C,0.3
157,4770,Laptop,Electronics,3,729.24,2187.7200000000003,2024-12-03 00:00:00,Abuja,cash,Store_C,0.02
158,1092,Tablet,ELECTRONICS,2,1370.42,2740.84,2023-05-15 00:00:00,LAGOS,cash,Store_B,0.24
159,3692,Headphones,electronics,1,1487.91,1487.91,2024-05-29 00:00:00,lagos,Cash,Store_A,0.24
160,1807,Headphones,Electronics,5,1357.87,6789.349999999999,2023-10-04 00:00:00,Port Harcourt,Transfer,Store_D,0.19
161,2218,Camera,ELECTRONICS,2,1360.61,2721.22,2022-08-28 00:00:00,Port Harcourt,CARD,Store_B,0.17
162,3201,Printer,ELECTRONICS,3,1132.08,3396.24,2023-10-07 00:00:00,LAGOS,cash,Store_B,0.06
163,3674,Headphones,electronics,8,860.48,6883.84,2022-06-19 00:00:00,lagos,Transfer,Store_B,0.16
164,4041,Headphones,ELECTRONICS,9,270.76,2436.84,2024-01-22 00:00:00,Kano,Card,Store_D,0.03
165,2219,Laptop,electronics,5,729.73,3648.65,2022-08-29 00:00:00,Kano,Transfer,Store_D,0.05
166,1847,Laptop,ELECTRONICS,6,1087.95,6527.700000000001,2023-08-23 00:00:00,Port Harcourt,Cash,Store_B,0.29
167,2135,Printer,Electronics,3,536.87,1610.6100000000001,2024-03-15 00:00:00,LAGOS,cash,Store_D,0.02
168,2650,Camera,ELECTRONICS,5,1404.67,7023.35,2024-09-26,Kano,cash,Store_C,0.26
169,4965,Headphones,Electronics,8,573.65,4589.2,2022-09-25 00:00:00,LAGOS,Cash,Store_A,0.03
170,1508,Phone,electronics,8,51.32,410.56,2022-09-28 00:00:00,LAGOS,Transfer,Store_C,0.02
171,1212,Headphones,ELECTRONICS,5,1465.68,7328.400000000001,2022-07-06,Abuja,CARD,Store_B,0.16
352,4346,Laptop,electronics,3,981.52,2944.56,2022-07-29 00:00:00,LAGOS,Card,Store_B,0.02
173,1672,Headphones,electronics,4,1274.76,5099.04,2024-06-25 00:00:00,Lagos,Cash,Store_D,0.11
174,2014,Tablet,ELECTRONICS,2,533.93,1067.86,2023-08-07 00:00:00,Kano,Card,Store_B,0.22
175,4677,Phone,electronics,7,269.85,1888.9500000000003,2024-12-17,LAGOS,Card,Store_D,0.26
176,3797,Phone,electronics,2,82.54,165.08,2022-03-23 00:00:00,Abuja,CARD,Store_D,0.13
177,3202,Camera,Electronics,5,213.01,1065.05,2022-11-15 00:00:00,Kano,Cash,Store_C,0.21
178,1237,Phone,Electronics,7,276.17,1933.19,2022-12-26 00:00:00,,cash,Store_C,0.16
179,1683,Tablet,Electronics,5,1479.22,7396.1,2023-11-18 00:00:00,Lagos,CARD,Store_A,0.15
180,4519,Camera,Electronics,6,356.75,2140.5,2022-08-25 00:00:00,Lagos,Cash,Store_B,0.01
181,1733,Laptop,ELECTRONICS,7,487.8,3414.6,2023-10-18 00:00:00,LAGOS,Cash,Store_B,0.07
182,2642,Laptop,electronics,5,1558.38,7791.900000000001,24/07/2024,lagos,Transfer,Store_B,0.14
183,4164,Phone,ELECTRONICS,9,,,19/04/2024,Port Harcourt,Cash,Store_C,0.0
184,3978,Tablet,Electronics,4,1083.14,4332.56,2022-05-03 00:00:00,LAGOS,Card,Store_D,0.21
185,1347,Camera,Electronics,9,310.35,2793.15,2022-05-08 00:00:00,lagos,Transfer,Store_D,0.21
186,2113,Phone,Electronics,4,315.42,1261.68,2022-08-05 00:00:00,Abuja,Transfer,Store_B,0.14
187,1370,Phone,ELECTRONICS,5,1661.45,8307.25,2023-11-03 00:00:00,LAGOS,Cash,Store_C,0.08
188,2656,Headphones,ELECTRONICS,9,537.21,4834.89,2022-10-14 00:00:00,lagos,cash,Store_C,0.21
189,3400,Tablet,Electronics,1,1994.46,1994.46,2022-09-21 00:00:00,LAGOS,cash,Store_A,0.05
190,2617,Headphones,Electronics,7,1382.27,9675.89,2023-01-19 00:00:00,lagos,CARD,Store_B,0.19
191,2962,Laptop,Electronics,5,796.88,3984.4,2024-12-12 00:00:00,Port Harcourt,cash,Store_C,0.14
192,3316,Camera,electronics,7,577.35,4041.4500000000003,2022-03-02 00:00:00,Lagos,cash,Store_C,0.23
193,1410,Phone,ELECTRONICS,4,569.73,2278.92,2022-04-25 00:00:00,Port Harcourt,cash,Store_C,0.28
194,1968,Camera,electronics,6,1832.26,10993.56,2022-10-19 00:00:00,Abuja,Card,Store_D,0.01
195,1081,Camera,electronics,1,696.88,696.88,2023-11-29 00:00:00,LAGOS,Card,Store_B,0.23
196,4934,Laptop,electronics,7,1192.73,8349.11,2022-11-19 00:00:00,Kano,Transfer,Store_B,0.21
197,3513,Tablet,Electronics,10,1638.19,16381.900000000001,2023-08-27 00:00:00,Kano,cash,Store_A,0.05
198,3504,Phone,ELECTRONICS,10,253.01,2530.1,2022-06-09 00:00:00,lagos,Cash,Store_C,0.13
199,1277,Tablet,electronics,2,1454.81,2909.62,2024-05-09 00:00:00,Abuja,Transfer,Store_D,0.03
200,3666,Printer,Electronics,3,930.01,2790.0299999999997,2022-02-11 00:00:00,Lagos,cash,Store_B,0.22
201,1381,Tablet,ELECTRONICS,10,1791.79,17917.9,2022-12-04 00:00:00,Lagos,Card,Store_B,0.12
202,3212,Tablet,ELECTRONICS,5,629.93,3149.6499999999996,2024-10-02 00:00:00,Abuja,CARD,Store_D,0.06
203,2195,Laptop,electronics,2,651.29,1302.58,2023-06-27 00:00:00,lagos,cash,Store_C,0.06
204,2078,Phone,electronics,10,170.2,1702.0,2022-06-25 00:00:00,Abuja,CARD,Store_B,0.17
205,2714,Camera,ELECTRONICS,8,1166.79,9334.32,2024-03-19 00:00:00,Port Harcourt,CARD,Store_B,0.04
206,1684,Phone,Electronics,3,133.22,399.65999999999997,2023-02-18 00:00:00,Port Harcourt,Cash,Store_A,0.12
207,2131,Camera,electronics,1,1583.77,1583.77,2024-05-09 00:00:00,Port Harcourt,Cash,Store_A,0.17
208,3193,Tablet,electronics,5,796.93,3984.6499999999996,2022-03-18 00:00:00,Port Harcourt,cash,Store_A,0.12
209,1201,Printer,electronics,5,1799.21,8996.05,2023-09-13 00:00:00,Kano,Card,Store_B,0.09
210,2314,Tablet,ELECTRONICS,7,1229.71,8607.970000000001,2024-04-13 00:00:00,LAGOS,CARD,Store_B,0.02
211,4196,Camera,ELECTRONICS,1,388.79,388.79,2022-04-29 00:00:00,LAGOS,Transfer,Store_C,0.25
212,1507,Printer,Electronics,4,776.31,3105.24,2024-08-29 00:00:00,lagos,Transfer,Store_A,0.09
213,3343,Phone,Electronics,4,1371.51,5486.04,2035-01-01 00:00:00,,Card,Store_B,0.18
214,4297,Tablet,ELECTRONICS,5,876.42,4382.099999999999,2023-06-01 00:00:00,Port Harcourt,cash,Store_A,0.0
215,4438,Tablet,ELECTRONICS,10,1237.65,12376.5,2022-05-11 00:00:00,LAGOS,Transfer,Store_C,0.06
216,1232,Camera,electronics,6,1377.47,8264.82,2023-08-29 00:00:00,Abuja,CARD,Store_B,0.1
217,3614,Headphones,ELECTRONICS,6,1039.26,6235.5599999999995,2023-01-06 00:00:00,Kano,CARD,Store_B,0.28
218,1910,Tablet,Electronics,5,869.92,4349.599999999999,2023-08-26 00:00:00,Lagos,CARD,Store_A,0.14
219,3788,Headphones,ELECTRONICS,5,855.56,4277.799999999999,2023-02-15 00:00:00,Abuja,Card,Store_A,0.15
220,3598,Laptop,Electronics,8,583.38,4667.04,2022-11-21 00:00:00,Lagos,cash,Store_D,0.12
221,1154,Camera,Electronics,6,1902.63,11415.78,2024-12-23 00:00:00,Kano,Card,Store_C,0.09
222,2253,Phone,Electronics,1,631.49,631.49,2024-12-09 00:00:00,lagos,cash,Store_C,0.23
223,4325,Headphones,Electronics,4,487.43,1949.72,2022-02-14 00:00:00,LAGOS,Cash,Store_D,0.26
224,1199,Camera,Electronics,2,-1324.46,-2648.92,2024-05-03 00:00:00,LAGOS,Card,Store_B,0.21
225,3710,Laptop,ELECTRONICS,9,576.46,5188.14,2022-08-03 00:00:00,LAGOS,Cash,Store_D,0.06
226,3142,Phone,electronics,7,625.93,4381.509999999999,2023-03-02 00:00:00,,Cash,Store_A,0.25
227,1368,Camera,Electronics,2,1814.32,3628.64,2023-08-30 00:00:00,lagos,Transfer,Store_C,0.24
228,1389,Laptop,Electronics,3,1343.54,4030.62,2024-06-15 00:00:00,Kano,Transfer,Store_B,0.03
229,4423,Headphones,ELECTRONICS,8,1609.8,12878.4,2022-08-20 00:00:00,lagos,CARD,Store_D,0.24
230,2555,Tablet,ELECTRONICS,1,1732.02,1732.02,2022-09-25 00:00:00,Abuja,Cash,Store_C,0.2
231,3149,Printer,ELECTRONICS,10,486.77,4867.7,2024-11-29 00:00:00,Lagos,Card,Store_D,0.1
232,4436,Camera,ELECTRONICS,1,72.71,72.71,2024-08-19 00:00:00,Lagos,Transfer,Store_B,0.1
233,3254,Printer,electronics,7,1643.35,11503.449999999999,2024-07-06 00:00:00,LAGOS,cash,Store_A,0.03
234,1000,Laptop,ELECTRONICS,10,1293.2,12932.0,2024-07-23 00:00:00,Lagos,cash,Store_C,0.17
235,3691,Tablet,ELECTRONICS,8,272.35,2178.8,2023-12-01 00:00:00,LAGOS,Transfer,Store_A,0.01
236,3936,Printer,ELECTRONICS,7,258.57,1809.99,2024-03-15 00:00:00,lagos,Cash,Store_D,0.01
237,1504,Headphones,electronics,10,1914.57,19145.7,2024-12-22 00:00:00,Abuja,cash,Store_B,0.21
238,1424,Headphones,ELECTRONICS,10,1232.01,12320.1,2024-05-07 00:00:00,lagos,Transfer,Store_C,0.14
239,3867,Printer,ELECTRONICS,5,1694.0,8470.0,2023-03-22 00:00:00,LAGOS,Card,Store_B,0.15
